file,ablength,Constrained_AU,Unconstrained_AU,deltaLL,treelength,alilength,relative_ablength,deltaLL/alilength
10_combined_orthos_linsi_bmge30.fas.fa,1.182713641,0.503,0.497,6.9888E-05,34.6636810246,240,0.034119678177302,2.912E-07
11_combined_orthos_linsi_bmge30.fas.fa,0.9393808639,0.519,0.481,0.28179,25.0267033829,78,0.037535141945297,0.003612692307692
12_combined_orthos_linsi_bmge30.fas.fa,0.9267287214,0.547,0.453,1.9046,25.3040937805,114,0.036623667673654,0.01670701754386
13_combined_orthos_linsi_bmge30.fas.fa,0.8855842196,0.543,0.457,3.7088,33.9385722155,91,0.026093738239099,0.040756043956044
14_combined_orthos_linsi_bmge30.fas.fa,1.85502552,0.659,0.341,5.7511,30.4694195869,94,0.060881550917286,0.061181914893617
15_combined_orthos_linsi_bmge30.fas.fa,2.747835726,0.551,0.449,0.00011505,26.2647596031,426,0.104620631124135,2.70070422535211E-07
16_combined_orthos_linsi_bmge30.fas.fa,0.2321942015,0.402,0.598,4.6396,29.8063452057,231,0.007790093011994,0.020084848484849
17_combined_orthos_linsi_bmge30.fas.fa,1.169141011,0.428,0.572,4.6272,22.7883750938,110,0.051304272735009,0.042065454545455
18_and_36_spangstyle_bmge30.fas.fa,3.033706448,0.511,0.489,3.9869E-05,28.1240114009,820,0.107868909763808,4.86207317073171E-08
19_combined_orthos_linsi_bmge30.fas.fa,1.432588644,0.487,0.513,0.73051,25.7000178318,131,0.055742710117009,0.00557641221374
1_combined_orthos_linsi_bmge30.fas.fa,0.9050408717,0.511,0.489,0.71886,27.6855790476,117,0.032689974450018,0.006144102564103
20_combined_orthos_linsi_bmge30.fas.fa,2.638185132,0.506,0.494,8.0457E-07,23.3074588781,433,0.113190594727548,1.85812933025404E-09
21_combined_orthos_linsi_bmge30.fas.fa,1.559566101,0.371,0.629,9.0395,26.3815455768,149,0.059115797308384,0.060667785234899
22_combined_orthos_bmge30.fas.fa,1.845067989,0.577,0.423,1.464,15.8618790487,352,0.116320896366387,0.004159090909091
23_combined_orthos_linsi_bmge30.fas.fa,1.135773404,0.505,0.495,0.44535,35.8904585854,112,0.031645552850696,0.003976339285714
24_combined_orthos_linsi_bmge30.fas.fa,0.8238761134,0.539,0.461,1.6273,30.6761920589,133,0.026857183310696,0.012235338345865
25_combined_orthos_linsi_bmge30.fas.fa,1.329126854,0.522,0.478,1.5325,51.4604157935,270,0.025828140591275,0.005675925925926
26_combined_orthos_linsi_bmge30.fas.fa,1.602255291,0.605,0.395,8.4364,28.2073196248,382,0.056802819704687,0.022084816753927
27_combined_orthos_linsi_bmge30.fas.fa,1.309178893,0.405,0.595,1.8651,35.754864832,150,0.036615406019611,0.012434
28_combined_orthos_linsi_bmge30.fas.fa,2.33357783,0.502,0.498,0.81473,28.1100630665,223,0.083015745090271,0.003653497757848
29_combined_orthos_linsi_bmge30.fas.fa,1.2148274,0.559,0.441,2.3379,26.8684918428,206,0.04521382916122,0.011349029126214
2_combined_orthos_linsi_bmge30.fas.fa,1.002065895,0.397,0.603,5.2042,28.2484075403,126,0.035473358757318,0.041303174603175
30_combined_orthos_linsi_bmge30.fas.fa,1.176992006,0.494,0.506,5.222E-06,29.6382270906,301,0.039711957209927,1.73488372093023E-08
31_combined_sulf_linsi_bmge30.fas.fa,1.847938088,0.577,0.423,2.9828,32.0903836791,205,0.057585415820489,0.014550243902439
32_combined_orthos_linsi_bmge30.fas.fa,0.7735137565,0.474,0.526,1.339,36.8502685271,188,0.020990722385948,0.007122340425532
33_combined_orthos_linsi_bmge30.fas.fa,0.6440476593,0.508,0.492,0.50893,25.2382927298,114,0.025518669832193,0.004464298245614
34_combined_orthos_linsi_bmge30.fas.fa,2.850312543,0.537,0.463,1.9362,22.0588150381,428,0.129214218355652,0.004523831775701
35_combined_orthos_linsi_bmge30.fas.fa,0.436971504,0.609,0.391,2.3481,23.4431190181,56,0.018639648745656,0.041930357142857
37_combined_orthos_linsi_bmge30.fas.fa,0.7343270196,0.63,0.37,9.0354,48.4955221143,233,0.015142161329231,0.038778540772532
38_combined_orthos_linsi_bmge30.fas.fa,0.8960472913,0.555,0.445,2.8799,38.201996773,96,0.023455509318646,0.029998958333333
39_combined_orthos_linsi_bmge30.fas.fa,1.601331728,0.487,0.513,1.9373,35.3793296177,55,0.045261788318309,0.035223636363636
3_combined_orthos_linsi_bmge30.fas.fa,1.537500344,0.471,0.529,0.70461,37.2813471533,157,0.041240471747918,0.004487961783439
40_combined_orthos_linsi_bmge30.fas.fa,1.058154911,0.55,0.45,2.6969,37.7011533315,78,0.028066910889856,0.034575641025641
41_combined_orthos_linsi_bmge30.fas.fa,2.097782783,0.579,0.421,3.8877,30.6192095488,100,0.068511983617886,0.038877
42_combined_orthos_linsi_bmge30.fas.fa,1.693772469,0.426,0.574,4.5351,34.9834428901,130,0.04841640299158,0.034885384615385
43_combined_orthos_linsi_bmge30.fas.fa,0.7856207399,0.63,0.37,8.5507,35.9240496644,115,0.021868935914498,0.074353913043478
44_combined_orthos_linsi_bmge30.fas.fa,1.526572797,0.562,0.438,5.8587,28.7708819159,122,0.053059645563258,0.048022131147541
45_combined_orthos_linsi_bmge30.fas.fa,0.84588496,0.566,0.434,5.2219,33.6576315406,96,0.025132040529342,0.054394791666667
46_combined_orthos_linsi_bmge30.fas.fa,0.6581001855,0.466,0.534,0.69878,46.9431202084,103,0.014019097635147,0.00678427184466
47_combined_orthos_linsi_bmge30.fas.fa,3.801063393,0.537,0.463,2.1308,22.7644350647,375,0.166973763337276,0.005682133333333
48_combined_orthos_linsi_bmge30.fas.fa,2.879197135,0.457,0.543,0.74331,28.7032017992,317,0.100309267068604,0.002344826498423
49_combined_orthos_linsi_bmge30.fas.fa,1.1197411,0.501,0.499,0.00021897,29.0954785374,230,0.038485055283097,9.5204347826087E-07
50_combined_orthos_linsi_bmge30.fas.fa,1.529917369,0.507,0.493,3.6825E-05,29.1133497252,446,0.052550372370093,8.2567264573991E-08
51_combined_orthos_linsi_bmge30.fas.fa,1.733686673,0.529,0.471,0.0012838,28.158609886,274,0.061568617201589,4.68540145985401E-06
5_combined_orthos_linsi_bmge30.fas.fa,0.4389813658,0.484,0.516,1.1051,31.7672217871,359,0.013818689237038,0.003078272980501
6_combined_orthos_linsi_bmge30.fas.fa,2.564981051,0.485,0.515,1.7473,15.9803340066,115,0.160508600755193,0.015193913043478
7_combined_orthos_linsi_bmge30.fas.fa,1.67232366,0.511,0.489,1.5071E-05,21.5729420619,698,0.077519498972442,2.15916905444126E-08
8_combined_orthos_linsi_bmge30.fas.fa,2.268172472,0.478,0.522,0.58914,34.8122407344,318,0.065154452116571,0.001852641509434
9_combined_orthos_linsi_bmge30.fas.fa,1.175455388,0.584,0.416,6.7308,30.2370367959,115,0.03887468854618,0.058528695652174
