file,ablength,Constrained_AU,Unconstrained_AU,deltaLL,treelength,alilength,relative_ablength,deltaLL/alilength
tmsa_align_AB10.fa.fas,1.205205433,0.596,0.404,4.5786,90.7508809524,162,0.013280371720382,0.028262962962963
tmsa_align_AB11.fa.fas,0.7489168263,0.54,0.46,0.609,121.8682523554,127,0.006145298811014,0.004795275590551
tmsa_align_AB12.fa.fas,3.147556129,0.612,0.388,0.89028,104.6176275438,194,0.030086288543317,0.004589072164948
tmsa_align_AB13.fa.fas,2.340797437,0.586,0.414,0.78046,121.7991332702,155,0.019218506520955,0.005035225806452
tmsa_align_AB14.fa.fas,1.124581916,0.609,0.391,1.3367,137.7906826887,174,0.008161523653531,0.007682183908046
tmsa_align_AB15.fa.fas,0.840359732,0.648,0.352,19.154,125.6059390657,128,0.006690445836008,0.149640625
tmsa_align_AB16.fa.fas,1.158489542,0.567,0.433,6.7041,125.2243048484,98,0.009251315416784,0.068409183673469
tmsa_align_AB17.fa.fas,1.186488016,0.699,0.301,18.423,100.5134746854,120,0.011804268230838,0.153525
tmsa_align_AB18.fa.fas,1.635355506,0.553,0.447,1.4713,119.4263433563,100,0.013693423578423,0.014713
tmsa_align_AB19.fa.fas,0.9752178678,0.507,0.493,3.8877E-07,115.4170837669,113,0.008449510557463,3.44044247787611E-09
tmsa_align_AB1.fa.fas,2.682518519,0.607,0.393,6.4099,89.688978162,506,0.029909121209462,0.012667786561265
tmsa_align_AB20.fa.fas,0.4046347855,0.553,0.447,3.6065E-07,93.1904935771999,87,0.004342017838598,4.14540229885057E-09
tmsa_align_AB21.fa.fas,0.9089503243,0.731,0.269,27.082,120.6278042203,143,0.007535164302916,0.189384615384615
tmsa_align_AB22.fa.fas,1.425925194,0.532,0.468,0.28453,92.1986624071001,105,0.015465790465635,0.00270980952381
tmsa_align_AB23.fa.fas,0.7039567817,0.5,0.5,0.23666,127.9755754886,113,0.005500711983614,0.002094336283186
tmsa_align_AB24.fa.fas,0.7521735101,0.657,0.343,6.8603,134.4743880505,118,0.005593433225497,0.05813813559322
tmsa_align_AB25.fa.fas,0.4421223386,0.573,0.427,3.4749,103.0463940837,71,0.004290517320197,0.048942253521127
tmsa_align_AB26.fa.fas,0.7495844391,0.669,0.331,6.9263,95.1074174062,103,0.007881450885146,0.067245631067961
tmsa_align_AB27.fa.fas,0.6318651103,0.598,0.402,6.0946,102.8859459748,104,0.00614141323495,0.058601923076923
tmsa_align_AB28.fa.fas,0.4805136366,0.541,0.459,3.2602,66.3257511674,72,0.007244752274079,0.045280555555556
tmsa_align_AB29.fa.fas,0.8801975641,0.659,0.341,9.4018,126.9111144312,82,0.006935543573508,0.114656097560976
tmsa_align_AB2.fa.fas,1.575516342,0.545,0.455,5.2357,97.2765865329,502,0.016196254393313,0.0104296812749
tmsa_align_AB30.fa.fas,0.9411150063,0.506,0.494,1.029E-05,82.1141539137,86,0.011461057094847,1.19651162790698E-07
tmsa_align_AB3.fa.fas,1.355183137,0.518,0.482,0.00018284,90.8361812838001,270,0.014918979616349,6.77185185185185E-07
tmsa_align_AB4.fa.fas,4.688690613,0.519,0.481,0.61658,82.2408928774,393,0.057011669608082,0.001568905852417
tmsa_align_AB5.fa.fas,3.422891691,0.624,0.376,0.73788,76.7279799835,337,0.044610736418919,0.002189554896142
tmsa_align_AB7.fa.fas,2.017423399,0.591,0.409,3.1307,124.2700161736,249,0.016234192777297,0.012573092369478
tmsa_align_AB8.fa.fas,1.118981916,0.547,0.453,1.7606,101.6286493646,225,0.011010496774247,0.007824888888889
tmsa_align_AB9.fa.fas,3.462384524,0.546,0.454,0.14114,89.7634542159,222,0.038572318258522,0.000635765765766
